28.11.2021;15;33;===;===;===;===
28.11.2021;===;===;3;12;63;21
28.11.2021;19;30;===;===;===;===
29.11.2021;===;===;2;16;65;37
30.11.2021;20;31;===;===;===;===
30.11.2021;===;===;0;57;66;34
